src_ip,src_hostname,src_process,src_service,src_username,dst_ip,dst_hostname,dst_fqdn,port,proto,dst_process,dst_service,dst_username,policy_decision
9.9.9.9,,,,,10.0.0.5,ord-lb01-dev,,443,6,httpd,,root,potentially_blocked
9.9.9.9,,,,,10.0.1.19,ord-lb02-prd,,443,6,httpd,,root,potentially_blocked
85.151.14.15,,,,,10.0.0.3,ord-lb02-dev,,443,6,httpd,,root,potentially_blocked
85.151.14.15,,,,,10.0.0.5,ord-lb01-dev,,443,6,httpd,,root,potentially_blocked
85.151.14.15,,,,,10.0.1.28,ord-lb01-prd,,443,6,httpd,,root,potentially_blocked
85.151.14.15,,,,,10.0.1.19,ord-lb02-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.5,,,,,10.0.1.6,prc-web03-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.6,,,,,10.0.1.30,prc-web02-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.7,,,,,10.0.1.21,prc-web01-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.8,,,,,10.0.1.25,ast-web03-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.9,,,,,10.0.1.36,ast-web01-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.10,,,,,10.0.1.8,ast-web02-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.11,,,,,10.0.1.131,swf-web02-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.12,,,,,10.0.1.136,exc-et02-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.13,,,,,10.0.1.139,exc-et01-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.14,,,,,10.0.1.141,swf-web01-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.15,,,,,10.0.0.3,ord-lb02-dev,,443,6,httpd,,root,potentially_blocked
45.54.45.16,,,,,10.0.0.5,ord-lb01-dev,,443,6,httpd,,root,potentially_blocked
45.54.45.17,,,,,10.0.1.23,hrm-web03-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.18,,,,,10.0.1.28,ord-lb01-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.19,,,,,10.0.1.19,ord-lb02-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.20,,,,,10.0.1.14,hrm-web02-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.21,,,,,10.0.2.6,pos-web04-stg,,443,6,httpd,,root,potentially_blocked
45.54.45.22,,,,,10.0.1.16,hrm-web01-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.23,,,,,10.0.2.7,pos-web05-stg,,443,6,httpd,,root,potentially_blocked
45.54.45.24,,,,,10.0.0.69,pos-web02-pci,,443,6,httpd,,root,potentially_blocked
45.54.45.25,,,,,10.0.0.70,pos-web03-pci,,443,6,httpd,,root,potentially_blocked
45.54.45.26,,,,,10.0.1.204,pay-web01-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.27,,,,,10.0.1.198,pay-web02-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.28,,,,,10.0.1.197,ord-web07-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.29,,,,,10.0.1.201,ord-web04-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.30,,,,,10.0.1.75,ord-web06-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.31,,,,,10.0.1.83,ord-web05-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.32,,,,,10.0.0.137,cat-web02-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.33,,,,,10.0.0.140,shc-web02-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.34,,,,,10.0.1.70,pay-web05-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.35,,,,,10.0.1.72,pay-web03-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.36,,,,,10.0.1.86,pay-web04-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.37,,,,,10.0.1.73,swf-web08-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.38,,,,,10.0.1.67,swf-web07-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.39,,,,,10.0.1.76,swf-web06-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.40,,,,,10.0.1.78,swf-web05-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.41,,,,,10.0.1.66,swf-web04-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.42,,,,,10.0.0.203,ecm-web06-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.43,,,,,10.0.0.194,ecm-web05-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.44,,,,,10.0.0.199,ecm-web04-prd,,443,6,httpd,,root,potentially_blocked
45.54.45.45,,,,,10.0.0.196,ecm-web03-prd,,443,6,httpd,,root,potentially_blocked
